,Continent,ISO2,Area,Order,qq
159,Americas,MX,1964375.0,216.0,0.935064935064935
92,Asia,SA,2149690.0,217.0,0.9393939393939394
182,Americas,GL,2166086.0,218.0,0.9437229437229437
12,Africa,CD,2344858.0,219.0,0.948051948051948
0,Africa,DZ,2381741.0,220.0,0.9523809523809523
76,Asia,KZ,2724900.0,221.0,0.9567099567099567
192,Americas,AR,2780400.0,222.0,0.961038961038961
69,Asia,IN,3287263.0,223.0,0.9653679653679653
208,Oceania,AU,7692024.0,224.0,0.9696969696969697
194,Americas,BR,8515767.0,225.0,0.974025974025974
66,Asia,CN,9596961.0,226.0,0.9783549783549783
160,Americas,US,9833517.0,227.0,0.9826839826839827
158,Americas,CA,9984670.0,228.0,0.987012987012987
143,Europe,RU,17098242.0,229.0,0.9913419913419913
